"Grupao","Grupo","Familia","Especie","NomeComum","Bioma"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","Mata Atlântica"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","Cerrado"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","Mata Atlântica"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","Mata Atlântica"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","Mata Atlântica"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","Cerrado"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","Cerrado"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","Mata Atlântica"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","Mata Atlântica"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","Mata Atlântica"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","Pampa"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","Caatinga"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","Caatinga"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","Caatinga"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","Cerrado"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","Caatinga"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","Mata Atlântica"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","Cerrado"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","Cerrado"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","Cerrado"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","Caatinga"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","Mata Atlântica"
