"Grupao","Grupo","Familia","Especie","NomeComum","CategoriaAmeaca"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","Vulnerável (VU)"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","Em Perigo (EN)"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","Vulnerável (VU)"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","Em Perigo (EN)"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","Criticamente em Perigo (CR)"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","Vulnerável (VU)"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","Em Perigo (EN)"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","Criticamente em Perigo (CR)"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","Vulnerável (VU)"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","Vulnerável (VU)"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","Vulnerável (VU)"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","Vulnerável (VU)"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma fruticosum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma magnoalatum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Euphorbiaceae","Adenophaedra cearensis","-","Criticamente em Perigo (CR)"
"Flora","Pteridófitas","Pteridaceae","Adiantum diphyllum","-","Criticamente em Perigo (CR)"
"Flora","Pteridófitas","Pteridaceae","Adiantum discolor","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Aechmea cariocae","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea castanea","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea echinata","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea fosteriana","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Aechmea kertesziae","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea macrochlamys","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea marginalis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea mutica","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea orlandiana","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla brevipalma","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla cavernicola","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leachi","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla ligulata","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla microphthalma","Egla","Criticamente em Perigo (CR)"
