"Grupao","Grupo","Familia","Especie","NomeComum","AreasProtegidas","PAN","OrdenamentoPesqueiro","ProtecaoNacional","ExclusivaBrasil"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","Sim","Sim","Não","2","Sim"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","Sim","Não","Não","4","Não"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","Sim","Sim","Não","3","Não"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","Sim","Não","Não","3","Sim"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","Sim","Sim","Não","2","Sim"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","Sim","Não","Não","1","Sim"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","Sim","Sim","Não","3","Informação não disponível"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","Sim","Não","Não","2","Sim"
