"Grupao","Grupo","Familia","Especie","NomeComum","EstadosOcorrencia"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","PR"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","BA"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","ES"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","MG"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","PR"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","RJ"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","RS"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","SC"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","SP"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","RJ"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","SP"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","BA"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","MG"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","BA"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","ES"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","ES"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","PR"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","SP"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","ES"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","MG"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","ES"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","MG"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","RJ"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","BA"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","PR"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","ES"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","MG"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","RJ"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","PR"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","BA"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","CE"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","PE"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","ES"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","MG"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","SP"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","RS"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","PR"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","RS"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","BA"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","BA"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","MG"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","BA"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","BA"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","MG"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","GO"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","MS"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","MG"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","SP"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","PR"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","MG"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","MG"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","RJ"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","SP"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","BA"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","ES"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","CE"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","PI"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","CE"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","MG"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","BA"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma fruticosum","-","BA"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma magnoalatum","-","MG"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","RJ"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","SP"
"Flora","Angiospermas","Euphorbiaceae","Adenophaedra cearensis","-","CE"
"Flora","Pteridófitas","Pteridaceae","Adiantum diphyllum","-","BA"
"Flora","Pteridófitas","Pteridaceae","Adiantum discolor","-","BA"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","MG"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","RJ"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","SP"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","PR"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","RJ"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","ES"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","MG"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","BA"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","MG"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","MG"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","SC"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","SP"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","PR"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","SC"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","MG"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Aechmea cariocae","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Aechmea castanea","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea echinata","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea fosteriana","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","PE"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","AL"
"Flora","Angiospermas","Bromeliaceae","Aechmea kertesziae","-","SC"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","SC"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","RS"
"Flora","Angiospermas","Bromeliaceae","Aechmea macrochlamys","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea marginalis","-","AL"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","PE"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","AL"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","RN"
"Flora","Angiospermas","Bromeliaceae","Aechmea mutica","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea orlandiana","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","PR"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","MG"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","SP"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","PE"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","AL"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","RN"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","RS"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla brevipalma","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla cavernicola","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","MG"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","PR"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leachi","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla ligulata","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla microphthalma","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla oblata","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla perobae","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla plana","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla pomerana","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla renana","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinipalma","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla strinatii","Egla","PR"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla strinatii","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla violacea","Egla","RS"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","RS"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","SC"
"Flora","Angiospermas","Fabaceae","Aeschynomene laca-buendiana","-","MG"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","ES"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","MG"
