"Grupao","Grupo","Familia","Especie","NomeComum","PrincipaisAmeacas"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","agropecuaria"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","expansão urbana"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","caça/pesca/captura"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","extracao florestal"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","expansão urbana"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","extraçao de madeira"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","agropecuaria"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","mineraçao"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","desenvolvimento e infraestrutura"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","agropecuaria"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","expansão urbana"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","poluiçao"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","agropecuaria"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","expansão urbana"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","mudanças na dinamica das especies nativas"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","Turismo desordenado"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","queimadas"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","expansão urbana"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","desenvolvimento e infraestrutura"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","caça/pesca/captura"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","Produção de energia"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","poluiçao"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","assoreamento"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","agropecuaria"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","Turismo desordenado"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","queimadas"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","queimadas"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","extraçao de madeira"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","expansão urbana"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","vazio"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","queimadas"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","agropecuaria"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","agropecuaria"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","queimadas"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","agropecuaria"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","agropecuaria"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","agropecuaria"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","expansão urbana"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","poluiçao"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","vazio"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","agropecuaria"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","agropecuaria"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","expansão urbana"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","extraçao para combustivel"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","agropecuaria"
